,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,disclosure_date
2374,09/30/2019,Joint,BOIVF,Bollore,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2375,09/30/2019,Joint,ORCL,Oracle Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2376,09/30/2019,Joint,FOX,Fox Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2377,09/30/2019,Joint,BK,The Bank of New York Mellon Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2378,09/30/2019,Joint,BKNG,Booking Holdings Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2379,09/30/2019,Joint,ANTM,"Anthem, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2380,09/30/2019,Joint,SYY,Sysco Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2381,09/30/2019,Joint,UHAL,AMERCO,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2382,10/01/2019,Joint,CBS,CBS Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2383,10/01/2019,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2384,10/01/2019,Joint,CBS,CBS Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2385,10/02/2019,Joint,IP,International Paper Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2386,10/10/2019,Joint,PBA,Pembina Pipeline Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2387,10/11/2019,Joint,SPY,SPDR S&amp;P 500 ETF,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2388,10/11/2019,Joint,CTSH,Cognizant Technology Solutions Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2389,10/11/2019,Joint,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2390,10/11/2019,Joint,RF,Regions Financial Corporation,Stock,Sale (Partial),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2391,10/11/2019,Joint,MOS,The Mosaic Company,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2392,10/11/2019,Joint,DVN,Devon Energy Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2393,10/11/2019,Joint,CBS,CBS Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2394,10/11/2019,Joint,SPY,SPDR S&amp;P 500 ETF,Stock,Purchase,"$500,001 - $1,000,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2395,10/11/2019,Joint,LGF-B,Lions Gate Entertainment Corp.,Stock,Sale (Full),"$50,001 - $100,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2396,10/11/2019,Joint,FDX,FedEx Corporation,Stock,Sale (Full),"$100,001 - $250,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2397,10/15/2019,Joint,NWSA,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2398,10/16/2019,Joint,NWSA,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2399,10/17/2019,Joint,TRGP,Targa Resources Corp.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2400,10/18/2019,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2401,10/23/2019,Joint,DOW,Dow Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2402,10/23/2019,Joint,RF,Regions Financial Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2403,10/23/2019,Joint,PAA,"Plains All American Pipeline, L.P.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2404,10/25/2019,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/,11/05/2019
2405,10/23/2019,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2406,10/17/2019,Spouse,KTB,"Kontoor Brands, Inc.",Stock,Sale (Full),"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2407,10/01/2019,Spouse,KTB,"Kontoor Brands, Inc.",Stock,Purchase,"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2408,10/01/2019,Spouse,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2409,10/31/2019,Spouse,MA,Mastercard Incorporated,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2410,10/15/2019,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2411,10/01/2019,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2412,10/31/2019,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2413,10/01/2019,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2414,10/03/2019,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2415,10/01/2019,Spouse,CELG,Celgene Corporation,Stock,Sale (Full),"$1,001 - $15,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/,11/03/2019
2416,10/28/2019,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/fc91143a-9848-4936-b404-9a78972a57ca/,10/28/2019
2417,10/16/2019,Spouse,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/2c7444a7-64a1-412c-a6d7-c6b3c54de9fe/,10/25/2019
2418,10/21/2019,Self,IBM,International Business Machines Corporation,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2d940cf0-3a7b-4b26-bcce-2e94b43c3af6/,10/24/2019
2419,06/28/2018,Spouse,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/e9e4b334-837b-46ad-86c1-f582d040faed/,10/23/2019
2420,09/10/2019,Spouse,--,"ME Muni Bond Waterville ME GO <div class=""text-muted""><em>Rate/Coupon:</em> 2.0%<br> <em>Matures:</em> 10/01/2023</div>",Municipal Security,Purchase,"$15,001 - $50,000",--,"Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/aae3bfc5-4f9c-4f5d-abf9-2128847ebcab/,10/21/2019
2421,09/25/2019,Spouse,WFC,Wells Fargo &amp; Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2422,09/25/2019,Spouse,DIS,The Walt Disney Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2423,09/25/2019,Spouse,3V64.TI,VISA - CLASSE A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2424,09/25/2019,Spouse,VZ,Verizon Communications Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2425,09/25/2019,Spouse,TXN,Texas Instruments Incorporated,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2426,09/25/2019,Spouse,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Stock,Sale (Full),"$15,001 - $50,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2427,09/25/2019,Spouse,OXY,Occidental Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2428,09/25/2019,Spouse,MPC,Marathon Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2429,09/25/2019,Spouse,JNJ,Johnson &amp; Johnson,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2430,09/25/2019,Spouse,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2431,09/25/2019,Spouse,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2432,09/25/2019,Spouse,GIS,"General Mills, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2433,09/25/2019,Spouse,0QZI.IL,FACEBOOK INC FACEBOOK CLASS A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2434,09/25/2019,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2435,09/25/2019,Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2436,09/25/2019,Spouse,KO,The Coca-Cola Company,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2437,09/25/2019,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2438,09/25/2019,Self,WFC,Wells Fargo &amp; Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2439,09/25/2019,Self,DIS,The Walt Disney Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2440,09/25/2019,Self,3V64.TI,VISA - CLASSE A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2441,09/25/2019,Self,VZ,Verizon Communications Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2442,09/25/2019,Self,USB,U.S. Bancorp,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2443,09/25/2019,Self,TXN,Texas Instruments Incorporated,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2444,09/25/2019,Self,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Stock,Sale (Partial),"$15,001 - $50,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2445,09/25/2019,Self,OXY,Occidental Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2446,09/25/2019,Self,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2447,09/25/2019,Self,MPC,Marathon Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2448,09/25/2019,Self,JNJ,Johnson &amp; Johnson,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2449,09/25/2019,Self,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2450,09/25/2019,Self,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2451,09/25/2019,Self,GIS,"General Mills, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2452,09/25/2019,Self,0QZI.IL,FACEBOOK INC FACEBOOK CLASS A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2453,09/25/2019,Self,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2454,09/25/2019,Self,CVS,CVS Health Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2455,09/25/2019,Self,COST,Costco Wholesale Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2456,09/25/2019,Self,KO,The Coca-Cola Company,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2457,09/25/2019,Self,BRK-B,Berkshire Hathaway Inc.,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2458,09/25/2019,Self,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2459,09/25/2019,Self,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2460,09/25/2019,Self,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/,10/21/2019
2461,09/30/2019,Self,UNH,UnitedHealth Group Incorporated,Stock,Sale (Full),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/dfa68b2c-684c-4777-9055-f65edb04acba/,10/18/2019
2462,09/30/2019,Self,XBI,SPDR S&amp;P Biotech ETF,Stock,Sale (Full),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/dfa68b2c-684c-4777-9055-f65edb04acba/,10/18/2019
2463,09/16/2019,Spouse,--,"Federal Farm Credit Bk 3133EGU94 <div class=""text-muted""><em>Rate/Coupon:</em> 2.300%<br> <em>Matures:</em> 12/14/2022</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/79725ebd-f89c-4549-80f5-4c04e7e6264c/,10/15/2019
2464,09/18/2019,Spouse,--,"Federal Farm Credit Bk 3133EKQ90 <div class=""text-muted""><em>Rate/Coupon:</em> 2.000%<br> <em>Matures:</em> 09/23/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/79725ebd-f89c-4549-80f5-4c04e7e6264c/,10/15/2019
2465,10/08/2019,N/A,N/A,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,N/A,Unknown,,Richard Blumenthal,https://efdsearch.senate.gov/search/view/paper/5dbceca2-e2ab-4520-8580-4a2ebe968f47/,10/08/2019
2466,09/06/2019,Self,--,"Snap + Style, Inc. <div class=""text-muted""> <em>Company:</em> Snap + Style, Inc. &nbsp;(Washington, DC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Online Fashion Advisory &amp; Shopping Website</div>",Non-Public Stock,Purchase,"$50,001 - $100,000",--,Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/9eed67f0-288a-440a-b8fb-cda5a43aebe5/,10/08/2019
2467,08/27/2019,Joint,TSLA,"Tesla, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/,10/08/2019
2468,08/27/2019,Self,CVS,CVS Health Corporation,Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/,10/08/2019
2469,08/27/2019,Self,T,AT&amp;T Inc.,Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/,10/08/2019
2470,08/27/2019,Self,TSLA,"Tesla, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/,10/08/2019
2471,10/03/2019,Self,--,"Westbrand, Inc. stock <div class=""text-muted""> <em>Company:</em> Westbrand, Inc. &nbsp;(Minot, ND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Bank holding company of First Western Bank</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/6574125b-c104-4e63-8b55-b4f54bacd2d0/,10/03/2019
2472,09/17/2019,Spouse,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/,10/03/2019
2473,09/17/2019,Spouse,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/,10/03/2019
2474,09/17/2019,Spouse,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/,10/03/2019
2475,09/09/2019,Spouse,--,"Dallas Fort Worth Texas International Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/,10/03/2019
2476,09/09/2019,Spouse,--,"Dallas Fort Worth Texas International Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/,10/03/2019
2477,09/27/2019,Spouse,--,"CS Contingent Autocall on MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/,10/01/2019
2478,09/27/2019,Spouse,--,"CS Contingent Autocall on MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/,10/01/2019
